"_id","_labels","chunk_index","embedding","id","index","name","text","weather","_start","_end","_type","fromYear"
"475",":Document","","","9cffc590c1d9eccbcc40aae341581165","","","Synopsis
The pilot, believing that he had an electrical fire,
undertook a precautionary landing. During the ground
run the nose wheel hit a rut causing the aircraft to turn
over on to its back. Both the pilot and passenger were
uninjured. An engineering investigation found that the
alternator drive belt had failed.
History of the flight
The pilot carried out the pre-flight check during which he
confirmed that there was sufficient oil in the engine and
then departed from his home airfield at Andrewsfield on a
local cross country flight. After flying for approximately
35 minutes at a height of 1,800 ft the pilot noticed blue
smoke coming out of the forward section of both sides of
the engine cowling. At the same time the pilot became
aware of a strong smell of electrical burning and
reported hearing a change in the engine noise similar to
when the magneto checks are carried out. He checked
the engine indications, which appeared normal, and
noticed that the low voltage warning light was glowing
very brightly.
The pilot, believing that he had an electrical fire, decided
to make an immediate landing in a large field of wheat
directly ahead of the aircraft. As he closed the throttle
to idle the smoke appeared to stop; nevertheless, he
made a Mayday call to Andrewsfield Radio on 130.55
Mhz and continued with the precautionary landing. The
pilot states that he consulted the emergency checklist
for fire in flight, but elected to leave the electrical
Master Switch ON so that he could operate the flaps
and radio. The aircraft was established on a stable
approach, with a 5 kt tail wind, and once full flaps were
selected, the pilot stated that he turned off the Master
Switch and subsequently held the aircraft in the flare
until the mainwheels touched down at approximately
50 kt. However, as the nose was lowered the aircraft
appeared to come to an abrupt halt and turned over on to
its back. The engine stopped as the propeller struck the
ground and the pilot exited the aircraft through his door
and then assisted the passenger to vacate the aircraft.
Shortly afterwards two farmers and the Police and
Air Ambulance helicopters arrived to offer assistance.
Both the pilot and passenger were unhurt.
Damage to aircraft
The nose landing gear leg was bent back against the
fuselage; the fin, rudder and wings were buckled and
distorted; the windscreen was cracked; one blade on
the propeller was bent; the engine was shock loaded,
the casing on the alternator had suffered impact damage
and the drive belt had failed. There was no evidence of
a fire having occurred.
Comment
From photographs of the accident site and comments
from an engineer who inspected the aircraft it was
established that the aircraft touched down on all three
wheels in a level attitude. The engineer stated that there
was a large rut across the field approximately 12 m
after the touch down point, which he believes caused
the nose landing gear to collapse and the aircraft to turn","",,,,
"476",":Action:Aircraft Control:__Entity__","","","electrical Master Switch","","","","",,,,
"477",":Person:__Entity__","","","pilot","","","","",,,,
"478",":Damage:Failure:Status:__Entity__","","","true","","","","",,,,
"479",":Aircraft Part:__Entity__","","","windscreen","","","","",,,,
"480",":Decision:__Entity__","","","immediate landing in wheat field","","","","",,,,
"481",":Action:__Entity__","","","precautionary landing","","","","",,,,
"482",":Person:__Entity__","","","passenger","","","","",,,,
"483",":Sensation:__Entity__","","","strong smell of electrical burning","","","","",,,,
"484",":Sound:__Entity__","","","engine noise","","","","",,,,
"485",":Aircraft Part:__Entity__","","","casing on alternator","","","","",,,,
"486",":Activity:__Entity__","","","engineering investigation","","","","",,,,
"487",":Obstacle:__Entity__","","","rut","","","","",,,,
"488",":Position:__Entity__","","","its back","","","","",,,,
"489",":Aircraft Part:__Entity__","","","drive belt","","","","",,,,
"490",":Action:__Entity__","","","emergency checklist for fire in flight","","","","",,,,
"491",":Location:__Entity__","","","Andrewsfield airfield","","","","",,,,
"492",":Aircraft Part:__Entity__","","","engine","","","","",,,,
"493",":Aircraft Instrument:__Entity__","","","low voltage warning light","","","","",,,,
"494",":Aircraft Part:__Entity__","","","nose landing gear leg","","","","",,,,
"495",":Communication:__Entity__","","","Andrewsfield Radio on 130.55 Mhz","","","","",,,,
"496",":Aircraft Part:__Entity__","","","one blade on propeller","","","","",,,,
"497",":Aircraft Parts:__Entity__","","","fin, rudder and wings","","","","",,,,
"498",":Observation:__Entity__","","","blue smoke from engine cowling","","","","",,,,
"499",":Damage:__Entity__","","","fuselage","","","","",,,,
"500",":Action:__Entity__","","","pre-flight check","","","","",,,,
"501",":Aircraft Part:__Entity__","","","nose wheel","","","","",,,,
"502",":Failure:Finding:__Entity__","","","alternator drive belt failure","","","","",,,,
"503",":Document","","","e8fc96204216d2acd62e1b5acfe808e4","","","after the touch down point, which he believes caused
the nose landing gear to collapse and the aircraft to turn
over. The flaps were found in the retracted position.
Another battery was fitted to the aircraft and its electrical
systems were operated for 15 minutes and found to
operate normally with no evidence of any electrical
burning smells. The engine oil level was found to be
satisfactory with no indication of there having been
either an oil leak or spillage.
It is believed that the blue smoke and the illumination of
the low voltage warning light were both caused when the
alternator drive belt failed.","",,,,
"504",":Position:__Entity__","","","retracted position","","","","",,,,
"505",":Equipment:__Entity__","","","another battery","","","","",,,,
"506",":Event:__Entity__","","","blue smoke and low voltage warning light illumination","","","","",,,,
"507",":Event:__Entity__","","","touch down point","","","","",,,,
"508",":Incident:__Entity__","","","nose landing gear collapse","","","","",,,,
"509",":Incident:__Entity__","","","oil leak or spillage","","","","",,,,
"510",":Measurement:__Entity__","","","engine oil level","","","","",,,,
"511",":Condition:__Entity__","","","satisfactory","","","","",,,,
"512",":Incident:__Entity__","","","aircraft turn over","","","","",,,,
"513",":Duration:__Entity__","","","15 minutes","","","","",,,,
"514",":Component:__Entity__","","","flaps","","","","",,,,
"515",":Condition:__Entity__","","","no evidence of electrical burning smells","","","","",,,,
"516",":Document","","","e92aafc9330a59bb53d0b75b23e4a1fd","","","Brian rode a bike in the storm.  The storm took place over Derby shire.  The river Trent, that runs 
through Derbyshire flooded as a  result.","",,,,
"517",":Location:__Entity__","","","Derbyshire","","","","",,,,
"518",":Location:__Entity__","","","Derby shire","","","","",,,,
"519",":Person:__Entity__","","","Brian","","","","",,,,
"520",":Object:__Entity__","","","bike","","","","",,,,
"521",":Geographical Feature:__Entity__","","","river Trent","","","","",,,,
"522",":Event:__Entity__","","","storm","","","","",,,,
"523",":Document","","","6b937f565fe8c216cfd9f92e028abb57","","","Brian, who lives in Derbyshire, en joys riding his bike.  He pre fers riding it in sunny weather but  
will ride in stormy weather if necessary.  Last we ek, he road it to the reservoir.","",,,,
"524",":Location:__Entity__","","","the reservoir","","","","",,,,
"525",":Condition:__Entity__","","","sunny weather","","","","",,,,
"526",":Condition:__Entity__","","","stormy weather","","","","",,,,
"527",":Activity:__Entity__","","","riding his bike","","","","",,,,
"528",":Chunk:__KGBuilder__","","[-0.029078376,0.016876439,0.047028728,-0.02391765,0.03957319,0.0034769,-0.027140971,0.028355112,0.040385682,-0.044473268,-0.034108635,-0.033175655,-0.012827524,0.017039107,-0.0195418,-0.018340712,-0.008566236,0.034429297,-0.04728029,0.0029177677,0.07172115,0.024653196,-0.07384151,-0.04205235,0.050051384,0.046922714,0.034445707,0.029965566,0.019938616,0.03957645,0.028024834,-0.03794144,0.024860168,-0.0388758,0.019247336,0.020229544,0.039888054,-0.04783452,0.01029995,-0.052116722,0.04457364,-0.03766268,0.0024698153,0.004266615,-0.050743252,0.004710001,0.02669288,-0.031290814,-0.019824939,-0.02137205,-0.00886046,0.020330021,0.07503668,-0.06732724,0.033432882,-0.0031233125,0.008580209,0.0029714622,-3.312673E-4,0.022525275,0.014682852,-0.030135063,0.021389386,-4.2053804E-4,-0.019231146,0.05131837,0.02591442,0.028605245,0.014479185,0.016477278,-0.027227266,0.050026827,-0.018953847,-9.265014E-5,-0.04632267,-0.033374947,-0.03953672,4.539393E-4,0.056712233,-0.017481562,0.029138733,0.04936821,0.01155406,-0.030344373,-0.02009556,-0.016907457,0.022571621,0.06530656,-0.014272332,0.04645889,0.034995466,0.01360436,0.015998876,-0.027605454,-0.004277582,0.0041578007,-0.016384056,0.04287685,-0.012007747,0.02515408,0.013343422,-0.0078712795,-0.014099795,0.05699919,-0.018311273,0.017895043,-0.047522064,0.025245393,0.022526724,-0.020754121,0.042179167,0.02597462,0.013430837,0.021970307,-0.022788446,0.04585204,-0.009671188,0.021830425,-0.021195598,-0.019957287,0.014911733,0.0033829326,0.03570199,-0.032776464,-0.04587886,-0.040788066,-0.026962416,0.03785972,0.0052511264,0.009240029,0.002108548,-0.050367214,-0.021833276,-0.020423822,-0.0023428483,0.018344566,7.1805186E-4,-0.009151128,-0.008525898,-0.032881115,0.038181007,-0.004474576,-0.00870413,0.05877597,0.011045065,0.05545446,0.017082227,-0.007951486,-0.020610284,0.03853738,-0.0067169815,-0.028779283,0.012378839,0.026396941,-0.010789566,-0.0077716485,0.042475037,0.020592617,0.024044037,-0.00544624,-0.011528662,-0.052226745,0.0019019096,0.004944766,-0.002203637,-8.016919E-4,-0.008682532,-0.047427937,0.0034552484,0.0077561922,0.026160536,0.010673037,-0.0047723725,-0.003153658,0.028441483,0.005742844,-0.0021969834,-0.005067469,-0.057129428,-0.0020400558,-3.0980045E-5,0.0029142513,-0.0022392054,0.03306472,-0.0033310326,0.023086276,0.011393406,-0.013697593,-0.009641814,-0.017585713,-0.030554326,0.029320067,0.017509742,0.055924132,0.014413313,0.023177987,-0.050376356,-0.012025,-0.019984938,0.0139593,-0.01969698,-0.0026652059,0.0042582536,0.02731675,0.038374957,-0.05578571,0.045436323,0.046994846,-0.029965466,-0.057767514,0.037887916,0.015066014,0.017959943,-0.014230044,0.014388431,-0.0075515914,-0.022475516,0.0075730383,-0.048643768,0.014366512,0.025417408,0.010107364,-0.0029551904,0.054054495,-0.025032429,-0.025736865,0.006225458,0.042306095,-0.016109113,-0.0119662285,0.012728084,0.006445173,-0.021555798,0.032244653,0.019892124,0.03542571,-0.012800973,3.9658297E-4,-0.0077747074,-0.02223706,-0.015043983,0.019592756,0.055376787,-0.0039718472,-0.024261108,0.063813984,-0.036938697,0.0026205375,-0.060821407,0.018527454,0.03674886,0.031824525,1.7881466E-4,-0.0066012247,-0.033432804,0.035321675,0.024333624,0.022040084,0.0031807495,-0.058236085,-0.0064737936,0.0011209341,-0.024097694,-0.033697184,0.029614018,0.034205176,-0.020544264,0.014930808,0.025545936,-0.048950825,-0.019865666,-0.027682101,-0.011600805,-0.009590556,-0.045884423,0.027709497,0.071209006,-0.031529635,0.026843477,-0.0035151213,-0.005433982,0.025117537,-0.032250363,0.02616948,-0.0100764185,0.0028429544,0.0043052016,0.014249293,-0.01595688,-0.01659422,-0.008699676,-0.04120617,-0.025284372,-0.015959065,0.011737859,-0.01757277,0.0014891339,0.03984673,0.0052074767,-0.06000956,-0.04097804,0.027840676,-0.029314827,-0.020024264,-0.028499698,-0.0384779,0.01962083,-0.007164331,0.023331665,0.019194264,-2.695856E-4,0.03433943,-0.0387637,0.0011603518,-0.047247503,0.012800796,0.013894196,0.036838718,-0.012591393,-0.011810368,-0.027128417,-0.03112404,0.013717944,0.011226782,-0.046089675,0.012715409,0.037357148,-0.038479153,0.02921122,0.0077943653,-0.023547098,-0.05382219,-0.069662675,-0.017806761,0.026749006,0.0034251446,0.029757934,-0.015870506,0.020087998,-0.0034845816,5.775887E-4,-0.008407274,0.045314383,0.051956616,-0.0237069,-0.039751973,0.039744783,0.0045739226,-0.017061392,0.046478644,-0.09099679,-2.1102902E-4,0.041303847,0.023373859,-0.0016596897,-0.0040682475,-0.018302765,-0.047535557,-0.055984233,-0.018891279,-0.013866281,-0.0014782948,0.029086316,0.014807151,-0.038727127,-0.022218907,-0.017193705,0.015741346,0.04151815,-0.044996306,0.029375192,0.0022105926,-0.027250607,-0.024313355,0.004683244,-0.00385216,0.0022258067,-0.028740427,0.027308261,-0.022890083,-0.0051381853,-0.042261366,0.046831354,0.0057698004,0.025093855,-0.03185331,-0.02349287,0.03440243,-0.016384823,-0.011961399,-0.011873087,-0.026534552,0.0035360847,-0.012534498,-0.02208801,-0.018935226,0.06138417,0.049397454,-0.022819486,-0.030413082,0.04552661,0.034156054,0.024546968,0.042608015,-0.008578865,0.05924882,-0.010204099,0.02215457,0.03412927,-0.028672783,-0.031039184,0.013282049,0.009439725,0.005537316,0.04696413,0.043632902,-0.03023822,0.010667827,-0.0067094914,0.003413694,-0.08407608,0.010719489,0.020985283,0.027358433,0.0071137557,0.018251583,0.014541465,0.004046948,0.030098515,0.03539467,-0.009216268,-0.028103167,0.024445202,-0.016568856,0.033283338,-0.01264247,0.028528178,-0.03155129,-0.019765224,0.016767047,0.016980827,0.10164904,0.054696176,0.0043517104,0.0013014327,0.03086332,-0.007590035,-0.005270025,-0.041017286,-0.013836574,-0.06336855,-0.027728774,-0.013320635,-0.016874485,0.0038210214,-0.019076992,9.901144E-4,0.021156706,-0.014859092,-0.00813577,0.022442222,0.021743946,0.02940002,0.008667835,-0.020544581,-0.0071336892,-0.036095113,0.054265153,0.0042003402,0.048187114,-0.02986133,-0.006854431,0.038512062,-0.06741487,0.012851909,-0.0069284327,0.015243906,0.02207021,0.01938126,0.0073488774,0.008382322,-0.011100417,-0.026063198,0.026547154,-0.004429253,-0.0808801,-0.026153013,-0.012688232,-0.0402041,-0.0027067766,-0.014361223,-0.03931401,-0.052436076,0.0020530634,0.014155535,-0.07075186,-0.054389756,-0.027979884,1.1586052E-4,-0.0052058515,0.043134585,0.052037224,0.01918999,0.031119386,-0.028491035,-0.051800244,-0.027280219,-0.018281396,-0.037900146,0.007450518,0.0042036646,-0.05660362,-0.009672378,0.02818702,-0.026007015,0.024369406,0.07620784,-0.009020105,0.027469195,0.045544848,0.015816033,-0.051395465,-0.016270852,0.065885074,-0.04045108,-0.007730731,0.031353146,0.039631233,-0.03195209,-0.07737712,-0.003349909,-0.018911554,-0.031723864,-0.009075109,-0.05410643,0.0029631373,-0.008878324,0.02269628,-0.0038369608,0.014658238,-0.021759564,0.0019376958,-0.006659021,-0.0073161013,-0.08122819,-0.004541343,0.022661602,0.018118309,0.0022520304,-0.008086678,-0.0046986295,0.0070324005,0.011951127,-0.013391225,-0.007659106,-0.04888342,-0.022496013,0.010834173,-0.0023252175,0.028100157,0.01727188,0.016852845,0.022689994,-0.09019855,0.034223817,-0.04865064,-0.0020565842,-0.0332443,0.048376586,0.0015629309,-0.008958942,9.0631365E-4,0.023377895,0.04551677,0.0020136188,-0.010903605,-0.033567186,-0.01942064,-0.037878882,-0.021951875,0.025638778,-0.05408489,-0.005777262,0.04051589,-0.0034084222,-0.009780516,-8.825166E-4,0.05668289,-0.002949645,-0.0313505,-0.053353768,0.016955905,-0.012360671,-0.024218187,-0.069766186,-0.016360443,-0.017837603,0.012663721,0.0098857405,-0.015194466,-0.044167466,0.02972094,0.04169914,-0.015129973,0.073841445,0.028183412,0.0074334205,-0.016476167,0.007853751,0.012997038,0.029650223,0.04595185,-2.0071708E-5,-0.005261447,0.04839789,0.0299083,-0.039559815,-0.03821839,0.032227222,0.015096971,-0.06317366,0.0017863367,0.027790647,-0.03168819,-0.016819565,-0.056933675,-0.035817042,-0.05362841,-0.011025257,0.030695718,0.010662651,-0.014787611,0.014880665,0.036081105,0.008124355,0.0036191635,-0.0019401817,0.0064344164,-0.011138494,0.00924478,0.0781574,0.009862268,0.053935785,-0.03154396,-0.044805698,-0.0010298886,0.008957458,0.0035048858,0.011385433,0.003607672,-0.012833647,0.012517181,-6.642484E-4,0.0019623172,-0.010202147,-0.0075951153,-0.0069336756,-0.015660109,-0.03525504,4.3876644E-4,0.07481014,-0.010039174,-0.025025718,0.008589793,0.025429657,-0.02154496,0.00734038,-0.039020445,-0.053661432,-0.040995497,0.00452915,-0.042834625,-0.03552712,0.0019918205,0.014928791,0.022194639,0.038888097,-0.028346404,0.022931648,-0.0114285415,0.015538429,3.993131E-4,-0.027055517,7.589272E-4,-0.011747878,-0.024633704,0.009165007,-0.02891681,-0.0066542723,-0.018150037,0.024695605,-0.060111362,0.043125488,0.0037382501,-0.015771922,0.10792527,-0.035682797,-0.03951863,0.0038832792,0.011032729,-0.013116819,0.062154524,1.9887513E-4,0.0078186,-0.007874143,-0.026086597,0.004827265,0.029742274,0.052842464,-0.05190926,-0.006357091,-0.0060109855,-0.004302188,-0.011366509,-0.034435496,0.0028363105,0.031126957,-0.07421286,0.008527268,0.026648328,-0.023937965,-0.04237047,0.016917486,-0.0041913525,0.060490157,-0.0076054814,2.665743E-4,-0.013007637,-0.026071655,0.048630316,-0.006259536,-0.019608574,0.062600724,0.018801238,0.023946086,-0.013687796,0.018587822,-0.012073995,-0.019288884,-0.005053131,0.003051985,0.037703533,0.015079015,0.017783877,-0.06275104,-0.016518876,-0.034578957,-0.049670547,-0.012500884,0.04830423,0.016195728,-0.006521603,0.0025417872,-0.022973936,-0.073319815,0.04054254,-7.7179883E-4,0.018615397,0.022599181,0.032054298,0.051749256,-0.01319279,-0.007532521,0.029141985,0.034202803,-0.04841356,-0.07246381,0.027680503,-0.013946596,-0.01723462,-0.008998614,-0.0085686855,-0.0037986946,-0.014438007,-0.019618802,-0.006364268,0.013418009,-0.003037014,0.038461406,-0.0139608085,0.033363607,0.0070560114,0.013358728,0.05226522,-0.023004021,-0.04143905,0.04477324,0.027230337,0.03325176,0.048696727,0.023986949,0.011755716,-0.010457864,-0.02951691,-0.010099461,0.013282388,0.005251456,0.038454365,-0.0019053572,0.01797131,-1.9302983E-4,0.0023529346,0.0027916413,-7.673433E-4,0.040143594,0.030772042,-0.017333886,-0.001453321,-0.023695633,0.008061547,-0.025570877,1.2733501E-5,0.0057925517,9.351492E-4,-0.0343433,-0.017068215,0.011094675,0.001987796,-0.008087045,0.020091096,-0.024717985,-0.02091263,0.08317119,0.009812459,-0.022387283,0.08057252,-0.005899877,0.035336882,-0.018111039,-0.0155897075,-0.027520077,-0.0680216,0.01612241,0.035074316,0.046442218,-0.0045859665,-0.027812377,0.012525819,0.023323558,-0.047028717,0.0015163134,-0.0015711794,-0.010879842,-0.07070147,-0.023043599,0.014974662,-0.034836985,0.022054654,-0.006763542,-0.0043399236,0.017910456,-0.01972536,-0.004721152,0.05616935,-0.015872132,-0.019832704,0.028655678,0.017929288,0.037988868,0.013610999,-0.010078133,0.006972495,-0.024861887,0.018627133,0.012084233,-0.031492442,0.028433466,-0.020188076,0.006293221,-0.02227983,0.014953742,-0.03297846,-0.036536854,0.018538546,0.0074635874,-0.030316679,0.017396731,-0.017395236,0.033535775,-0.024179302,0.024809713,0.02733403,-0.036405824,0.020401925,-0.047646973,0.047552157,0.013125869,-0.04653423,-0.051295877,-0.043187372,-0.005577736,-0.021946855,-0.035730492,-0.019854141,0.041055042,0.060843766,0.003357954,-0.023573538,-0.029812433,-0.03727052,-0.0052353237,0.034328077,-0.060160678,-9.523148E-4,-0.015086324,-0.0035525197,0.0019893735,0.014956363,-0.0075104404,-0.060211934,0.022334518,-0.0040233782,0.010712659,-0.034931097,0.001574471,0.043426067,0.012241807,0.019939438,-0.018844187,-0.056702666,-0.002975184,-0.022490405,-0.07600801,-0.034576163,-0.017021379,0.010508082,0.017239982,-0.007372915,-0.034822922,0.24908333,0.026192559,0.017880483,-0.031733923,-0.014470006,0.043007646,0.017238196,-0.010572441,0.0469153,-0.03638852,-0.013530183,0.049226858,0.008561256,-0.025580486,0.01141373,0.036039867,-0.0020577135,0.017690068,-0.001376596,-0.041083656,-0.06506223,-0.01967467,-0.041116226,0.015382839,0.0042377035,0.010691644,0.0074566538,0.0072763995,-0.02201287,0.026055409,-0.017834088,-0.029593492,-0.019959893,-0.038132165,-0.014907236,-0.014097004,-0.020324387,0.0015655836,-8.030898E-4,-0.011062469,-0.030487034,0.037884027,-8.0080127E-4,-0.04402616,0.0012842702,0.024023756,0.025258994,0.0146251805,0.007875961,0.02218232,0.03437123,-0.038856518,0.02054051,-0.037222866,0.0015118461,0.009824261,0.040593274,0.020198718,-0.026816018,-0.010851791,0.021225866,0.039496254,0.022150455,-0.007397141,0.0034369763,0.07069975,0.04292984,0.012652698,0.02599537,0.0037104671,0.03276237,-0.037223727,-0.052905038,-0.04844784,0.04874985,-0.004145207,-0.006583949,-0.030932065,0.015789494,0.005640925,-0.049285848,-0.0049084774,-0.045904882,-0.04458146,-0.002972077,-0.0279852,-0.0143531,-0.016221143,0.0021689455,0.10003027,0.04360365,0.005295837,-0.048642546,0.011574086,0.029529868]","7e6b8c14-9feb-4e79-8473-3510084797e9","0","","The son of Duke Leto Atreides and the Lady Jessica, Paul is the heir of House Atreides,
an aristocratic family that rules the planet Caladan, the rainy planet, since 10191.","",,,,
"529",":Person:__Entity__:__KGBuilder__","0","","7e6b8c14-9feb-4e79-8473-3510084797e9:0","","Duke Leto Atreides","","",,,,
"530",":Person:__Entity__:__KGBuilder__","0","","7e6b8c14-9feb-4e79-8473-3510084797e9:1","","Lady Jessica","","",,,,
"531",":Person:__Entity__:__KGBuilder__","0","","7e6b8c14-9feb-4e79-8473-3510084797e9:2","","Paul","","",,,,
"532",":House:__Entity__:__KGBuilder__","0","","7e6b8c14-9feb-4e79-8473-3510084797e9:3","","","","",,,,
"533",":Planet:__Entity__:__KGBuilder__","0","","7e6b8c14-9feb-4e79-8473-3510084797e9:4","","","","rainy",,,,
